'index', 'num_nodes', 'num_edges', 'density', 'avg_degree', 'avg_degree_central', 'min_degree_central', 'max_degree_central', 'avg_eigen_central', 'min_eigen_central', 'max_eigen_central', 'avg_btwn_central', 'min_btwn_central', 'max_btwn_central', 'max_clique_size', 'clustering_coefficient', 'transitivity', 'num_strongly_connected_components', 'vertex_cover_size', 'avg_shortest_path_len'
19,17,31,0.114,1.133,0.228,0.062,0.875,0.134,0.0,0.871,0.008,0.0,0.054,3,0.302,0.429,12,12,0.312
20,17,35,0.129,1.133,0.257,0.062,0.875,0.139,0.0,0.739,0.027,0.0,0.156,2,0.144,0.259,10,10,0.732
21,19,34,0.099,1.583,0.199,0.056,0.611,0.125,0.0,0.783,0.012,0.0,0.08,2,0.129,0.192,12,14,0.433
22,15,24,0.114,1.5,0.229,0.071,0.643,0.172,0.0,0.704,0.018,0.0,0.082,3,0.114,0.25,11,8,0.486
23,14,19,0.104,1.273,0.209,0.077,0.769,0.139,0.0,0.649,0.002,0.0,0.019,2,0.119,0.286,10,8,0.159
24,13,28,0.179,1.3,0.359,0.083,0.75,0.206,0.0,0.76,0.129,0.0,0.356,2,0.141,0.208,4,10,2.135
25,17,34,0.125,1.545,0.25,0.062,0.625,0.157,0.0,0.671,0.025,0.0,0.119,3,0.095,0.214,10,12,0.728
26,13,23,0.147,1.3,0.295,0.083,0.75,0.181,0.0,0.761,0.028,0.0,0.095,2,0.171,0.25,7,10,0.609
27,21,32,0.076,1.4,0.152,0.05,0.7,0.111,0.0,0.615,0.004,0.0,0.026,2,0.147,0.206,17,16,0.198
28,22,67,0.145,1.294,0.29,0.048,0.762,0.147,0.0,0.716,0.041,0.0,0.19,4,0.246,0.268,8,14,1.424
29,15,32,0.152,1.5,0.305,0.071,0.643,0.177,0.0,0.635,0.04,0.0,0.214,2,0.111,0.288,7,8,0.971
30,18,37,0.121,1.125,0.242,0.059,0.882,0.13,0.0,0.736,0.021,0.0,0.154,2,0.295,0.237,11,12,0.654
31,4,3,0.25,1.333,0.5,0.333,0.667,-1,-1,-1,0.042,0.0,0.167,2,0.0,0.0,4,2,0.417
32,18,32,0.105,1.286,0.209,0.059,0.765,0.137,0.0,0.675,0.012,0.0,0.062,3,0.151,0.333,11,10,0.422
33,17,37,0.136,1.062,0.272,0.062,0.938,0.147,0.0,0.724,0.023,0.0,0.135,3,0.274,0.295,8,10,0.669
34,21,50,0.119,1.0,0.238,0.05,1.0,0.156,0.0,0.535,0.036,0.0,0.386,3,0.24,0.258,8,12,1.243
35,17,30,0.11,1.308,0.221,0.062,0.75,0.152,0.0,0.644,0.022,0.0,0.217,3,0.178,0.229,9,10,0.654
